Transaction_ID,Patient_ID,Operation,Start_Time,End_Time,Latency_Seconds,Status
1,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524725.001735712,1771524725.113734548,.111998836,SUCCESS
2,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524725.230694549,1771524725.337241102,.106546553,SUCCESS
3,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524725.454717621,1771524725.573752991,.119035370,SUCCESS
4,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524725.688293711,1771524725.799899733,.111606022,SUCCESS
5,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524725.915231680,1771524726.026803002,.111571322,SUCCESS
6,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524726.141034811,1771524726.248798605,.107763794,SUCCESS
7,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524726.363158063,1771524726.485505150,.122347087,SUCCESS
8,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524726.599992155,1771524726.702467430,.102475275,SUCCESS
9,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524726.818225680,1771524726.925311919,.107086239,SUCCESS
10,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524727.039956830,1771524727.146333944,.106377114,SUCCESS
11,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524727.260231228,1771524727.375246352,.115015124,SUCCESS
12,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524727.491068304,1771524727.606087528,.115019224,SUCCESS
13,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524727.721535867,1771524727.837534526,.115998659,SUCCESS
14,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524727.954717328,1771524728.069441741,.114724413,SUCCESS
15,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524728.187229865,1771524728.336516418,.149286553,SUCCESS
16,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524728.455979702,1771524728.557407250,.101427548,SUCCESS
17,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524728.671842566,1771524728.779477338,.107634772,SUCCESS
18,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524728.893274631,1771524728.994682378,.101407747,SUCCESS
19,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524729.110483644,1771524729.227994471,.117510827,SUCCESS
20,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524729.344273853,1771524729.452158033,.107884180,SUCCESS
21,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524729.566567748,1771524729.680920961,.114353213,SUCCESS
22,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524729.794415244,1771524729.897897166,.103481922,SUCCESS
23,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524730.011648657,1771524730.127015607,.115366950,SUCCESS
24,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524730.240607293,1771524730.345497966,.104890673,SUCCESS
25,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524730.460686909,1771524730.568053871,.107366962,SUCCESS
26,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524730.682983004,1771524730.787452762,.104469758,SUCCESS
27,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524730.900733636,1771524731.010642189,.109908553,SUCCESS
28,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524731.123826161,1771524731.236716622,.112890461,SUCCESS
29,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524731.351228640,1771524731.467321916,.116093276,SUCCESS
30,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524731.587995956,1771524731.698234721,.110238765,SUCCESS
31,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524731.815513940,1771524731.928329798,.112815858,SUCCESS
32,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524732.043628145,1771524732.154527833,.110899688,SUCCESS
33,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524732.270103591,1771524732.425299173,.155195582,SUCCESS
34,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524732.545840909,1771524732.658447159,.112606250,SUCCESS
35,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524732.772942377,1771524732.885255416,.112313039,SUCCESS
36,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524732.999300619,1771524733.114281754,.114981135,SUCCESS
37,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524733.229606003,1771524733.349610519,.120004516,SUCCESS
38,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524733.465234378,1771524733.581656766,.116422388,SUCCESS
39,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524733.697592835,1771524733.805487716,.107894881,SUCCESS
40,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524733.922316218,1771524734.027375897,.105059679,SUCCESS
41,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524734.143730682,1771524734.258604214,.114873532,SUCCESS
42,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524734.374199072,1771524734.509191227,.134992155,SUCCESS
43,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524734.624667381,1771524734.749886585,.125219204,SUCCESS
44,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524734.868760961,1771524734.976255628,.107494667,SUCCESS
45,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524735.090085521,1771524735.204297530,.114212009,SUCCESS
46,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524735.318892051,1771524735.427056342,.108164291,SUCCESS
47,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524735.541694265,1771524735.660178326,.118484061,SUCCESS
48,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524735.774612643,1771524735.879762725,.105150082,SUCCESS
49,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524735.993272308,1771524736.114028552,.120756244,SUCCESS
50,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524736.228341563,1771524736.335265709,.106924146,SUCCESS
51,CLOUD_LAT_CNS_20260219_181204_P000001,GRANT,1771524736.449472717,1771524736.590310944,.140838227,SUCCESS
52,CLOUD_LAT_CNS_20260219_181204_P000002,REVOKE,1771524736.703915297,1771524736.811967453,.108052156,SUCCESS
53,CLOUD_LAT_CNS_20260219_181204_P000003,GRANT,1771524736.927102461,1771524737.041302335,.114199874,SUCCESS
54,CLOUD_LAT_CNS_20260219_181204_P000004,REVOKE,1771524737.157389378,1771524737.267824819,.110435441,SUCCESS
55,CLOUD_LAT_CNS_20260219_181204_P000005,GRANT,1771524737.385327611,1771524737.495709849,.110382238,SUCCESS
56,CLOUD_LAT_CNS_20260219_181204_P000001,REVOKE,1771524737.610726953,1771524737.714633361,.103906408,SUCCESS
57,CLOUD_LAT_CNS_20260219_181204_P000002,GRANT,1771524737.828766933,1771524737.943424024,.114657091,SUCCESS
58,CLOUD_LAT_CNS_20260219_181204_P000003,REVOKE,1771524738.063708816,1771524738.170065911,.106357095,SUCCESS
59,CLOUD_LAT_CNS_20260219_181204_P000004,GRANT,1771524738.286055050,1771524738.397910941,.111855891,SUCCESS
60,CLOUD_LAT_CNS_20260219_181204_P000005,REVOKE,1771524738.517224598,1771524738.668889009,.151664411,SUCCESS
