Transaction_ID,Patient_ID,Start_Time,End_Time,Latency_Seconds,Status
1,CLOUD_LAT_CREATE_20260219_180704_P000001,1771524424.466278529,1771524424.582960754,.116682225,SUCCESS
2,CLOUD_LAT_CREATE_20260219_180704_P000002,1771524424.645756874,1771524424.759254686,.113497812,SUCCESS
3,CLOUD_LAT_CREATE_20260219_180704_P000003,1771524424.821702094,1771524424.937614192,.115912098,SUCCESS
4,CLOUD_LAT_CREATE_20260219_180704_P000004,1771524425.001291942,1771524425.121685698,.120393756,SUCCESS
5,CLOUD_LAT_CREATE_20260219_180704_P000005,1771524425.185977171,1771524425.296636983,.110659812,SUCCESS
6,CLOUD_LAT_CREATE_20260219_180704_P000006,1771524425.360207330,1771524425.489579103,.129371773,SUCCESS
7,CLOUD_LAT_CREATE_20260219_180704_P000007,1771524425.552680834,1771524425.670070084,.117389250,SUCCESS
8,CLOUD_LAT_CREATE_20260219_180704_P000008,1771524425.733969443,1771524425.848187881,.114218438,SUCCESS
9,CLOUD_LAT_CREATE_20260219_180704_P000009,1771524425.912821465,1771524426.021810018,.108988553,SUCCESS
10,CLOUD_LAT_CREATE_20260219_180704_P000010,1771524426.085712977,1771524426.205917426,.120204449,SUCCESS
11,CLOUD_LAT_CREATE_20260219_180704_P000011,1771524426.269180563,1771524426.380958314,.111777751,SUCCESS
12,CLOUD_LAT_CREATE_20260219_180704_P000012,1771524426.444621465,1771524426.564375298,.119753833,SUCCESS
13,CLOUD_LAT_CREATE_20260219_180704_P000013,1771524426.629817411,1771524426.742061278,.112243867,SUCCESS
14,CLOUD_LAT_CREATE_20260219_180704_P000014,1771524426.805261013,1771524426.918800427,.113539414,SUCCESS
15,CLOUD_LAT_CREATE_20260219_180704_P000015,1771524426.981499243,1771524427.110892317,.129393074,SUCCESS
16,CLOUD_LAT_CREATE_20260219_180704_P000016,1771524427.173256622,1771524427.294269400,.121012778,SUCCESS
17,CLOUD_LAT_CREATE_20260219_180704_P000017,1771524427.357821547,1771524427.477623882,.119802335,SUCCESS
18,CLOUD_LAT_CREATE_20260219_180704_P000018,1771524427.540401601,1771524427.657443839,.117042238,SUCCESS
19,CLOUD_LAT_CREATE_20260219_180704_P000019,1771524427.722097124,1771524427.835474632,.113377508,SUCCESS
20,CLOUD_LAT_CREATE_20260219_180704_P000020,1771524427.899228986,1771524428.017963383,.118734397,SUCCESS
21,CLOUD_LAT_CREATE_20260219_180704_P000021,1771524428.081556231,1771524428.198034248,.116478017,SUCCESS
22,CLOUD_LAT_CREATE_20260219_180704_P000022,1771524428.261677298,1771524428.370242835,.108565537,SUCCESS
23,CLOUD_LAT_CREATE_20260219_180704_P000023,1771524428.434902522,1771524428.544996114,.110093592,SUCCESS
24,CLOUD_LAT_CREATE_20260219_180704_P000024,1771524428.608473758,1771524428.719424480,.110950722,SUCCESS
25,CLOUD_LAT_CREATE_20260219_180704_P000025,1771524428.782967326,1771524428.895134991,.112167665,SUCCESS
26,CLOUD_LAT_CREATE_20260219_180704_P000026,1771524428.959043450,1771524429.076372598,.117329148,SUCCESS
27,CLOUD_LAT_CREATE_20260219_180704_P000027,1771524429.141895414,1771524429.252452223,.110556809,SUCCESS
28,CLOUD_LAT_CREATE_20260219_180704_P000028,1771524429.317115808,1771524429.429154369,.112038561,SUCCESS
29,CLOUD_LAT_CREATE_20260219_180704_P000029,1771524429.493951660,1771524429.606779148,.112827488,SUCCESS
30,CLOUD_LAT_CREATE_20260219_180704_P000030,1771524429.671115522,1771524429.780841101,.109725579,SUCCESS
31,CLOUD_LAT_CREATE_20260219_180704_P000031,1771524429.844134139,1771524429.954439938,.110305799,SUCCESS
32,CLOUD_LAT_CREATE_20260219_180704_P000032,1771524430.017015750,1771524430.132675538,.115659788,SUCCESS
33,CLOUD_LAT_CREATE_20260219_180704_P000033,1771524430.196521196,1771524430.312610200,.116089004,SUCCESS
34,CLOUD_LAT_CREATE_20260219_180704_P000034,1771524430.376181247,1771524430.488592921,.112411674,SUCCESS
35,CLOUD_LAT_CREATE_20260219_180704_P000035,1771524430.551057229,1771524430.675655433,.124598204,SUCCESS
36,CLOUD_LAT_CREATE_20260219_180704_P000036,1771524430.737980137,1771524430.861162291,.123182154,SUCCESS
37,CLOUD_LAT_CREATE_20260219_180704_P000037,1771524430.925255757,1771524431.041627771,.116372014,SUCCESS
