Transaction_ID,Patient_ID,Start_Time,End_Time,Latency_Seconds,Status
1,CLOUD_LAT_READ_20260219_180840_P000001,1771524522.101571512,1771524522.207370774,.105799262,SUCCESS
2,CLOUD_LAT_READ_20260219_180840_P000002,1771524522.340212772,1771524522.425764133,.085551361,SUCCESS
3,CLOUD_LAT_READ_20260219_180840_P000003,1771524522.539260561,1771524522.628744558,.089483997,SUCCESS
4,CLOUD_LAT_READ_20260219_180840_P000004,1771524522.639581333,1771524522.727935191,.088353858,SUCCESS
5,CLOUD_LAT_READ_20260219_180840_P000005,1771524522.738558859,1771524522.823723906,.085165047,SUCCESS
6,CLOUD_LAT_READ_20260219_180840_P000006,1771524522.835525115,1771524522.916701824,.081176709,SUCCESS
7,CLOUD_LAT_READ_20260219_180840_P000007,1771524522.927720706,1771524523.014230801,.086510095,SUCCESS
8,CLOUD_LAT_READ_20260219_180840_P000008,1771524523.024986572,1771524523.110490431,.085503859,SUCCESS
9,CLOUD_LAT_READ_20260219_180840_P000009,1771524523.121373509,1771524523.207606694,.086233185,SUCCESS
10,CLOUD_LAT_READ_20260219_180840_P000010,1771524523.218234861,1771524523.303662317,.085427456,SUCCESS
11,CLOUD_LAT_READ_20260219_180840_P000001,1771524523.314490993,1771524523.400483669,.085992676,SUCCESS
12,CLOUD_LAT_READ_20260219_180840_P000002,1771524523.411368546,1771524523.497568030,.086199484,SUCCESS
13,CLOUD_LAT_READ_20260219_180840_P000003,1771524523.508276200,1771524523.592914530,.084638330,SUCCESS
14,CLOUD_LAT_READ_20260219_180840_P000004,1771524523.603345490,1771524523.688492837,.085147347,SUCCESS
15,CLOUD_LAT_READ_20260219_180840_P000005,1771524523.699169107,1771524523.783815437,.084646330,SUCCESS
16,CLOUD_LAT_READ_20260219_180840_P000006,1771524523.794157094,1771524523.877317772,.083160678,SUCCESS
17,CLOUD_LAT_READ_20260219_180840_P000007,1771524523.888225150,1771524523.987856599,.099631449,SUCCESS
18,CLOUD_LAT_READ_20260219_180840_P000008,1771524523.998948782,1771524524.086447211,.087498429,SUCCESS
19,CLOUD_LAT_READ_20260219_180840_P000009,1771524524.097039977,1771524524.185903953,.088863976,SUCCESS
20,CLOUD_LAT_READ_20260219_180840_P000010,1771524524.196687126,1771524524.314427701,.117740575,SUCCESS
21,CLOUD_LAT_READ_20260219_180840_P000001,1771524524.325002167,1771524524.423743285,.098741118,SUCCESS
22,CLOUD_LAT_READ_20260219_180840_P000002,1771524524.434740166,1771524524.521659474,.086919308,SUCCESS
23,CLOUD_LAT_READ_20260219_180840_P000003,1771524524.532126636,1771524524.619407457,.087280821,SUCCESS
24,CLOUD_LAT_READ_20260219_180840_P000004,1771524524.630252432,1771524524.721792700,.091540268,SUCCESS
25,CLOUD_LAT_READ_20260219_180840_P000005,1771524524.732541673,1771524524.838005223,.105463550,SUCCESS
26,CLOUD_LAT_READ_20260219_180840_P000006,1771524524.848546088,1771524524.936113819,.087567731,SUCCESS
27,CLOUD_LAT_READ_20260219_180840_P000007,1771524524.947882226,1771524525.035446757,.087564531,SUCCESS
28,CLOUD_LAT_READ_20260219_180840_P000008,1771524525.048374704,1771524525.136325648,.087950944,SUCCESS
29,CLOUD_LAT_READ_20260219_180840_P000009,1771524525.146947416,1771524525.232784586,.085837170,SUCCESS
30,CLOUD_LAT_READ_20260219_180840_P000010,1771524525.243561260,1771524525.338660051,.095098791,SUCCESS
31,CLOUD_LAT_READ_20260219_180840_P000001,1771524525.349325820,1771524525.436738346,.087412526,SUCCESS
32,CLOUD_LAT_READ_20260219_180840_P000002,1771524525.447811929,1771524525.533092781,.085280852,SUCCESS
33,CLOUD_LAT_READ_20260219_180840_P000003,1771524525.543940356,1771524525.631263379,.087323023,SUCCESS
34,CLOUD_LAT_READ_20260219_180840_P000004,1771524525.641804543,1771524525.727016392,.085211849,SUCCESS
35,CLOUD_LAT_READ_20260219_180840_P000005,1771524525.737651461,1771524525.823299226,.085647765,SUCCESS
36,CLOUD_LAT_READ_20260219_180840_P000006,1771524525.834858625,1771524525.922131546,.087272921,SUCCESS
37,CLOUD_LAT_READ_20260219_180840_P000007,1771524525.935702516,1771524526.022074105,.086371589,SUCCESS
38,CLOUD_LAT_READ_20260219_180840_P000008,1771524526.033003783,1771524526.118680448,.085676665,SUCCESS
39,CLOUD_LAT_READ_20260219_180840_P000009,1771524526.129200713,1771524526.215141788,.085941075,SUCCESS
40,CLOUD_LAT_READ_20260219_180840_P000010,1771524526.226018164,1771524526.309819564,.083801400,SUCCESS
41,CLOUD_LAT_READ_20260219_180840_P000001,1771524526.320213624,1771524526.405669681,.085456057,SUCCESS
42,CLOUD_LAT_READ_20260219_180840_P000002,1771524526.416374252,1771524526.503861780,.087487528,SUCCESS
43,CLOUD_LAT_READ_20260219_180840_P000003,1771524526.514538450,1771524526.601965776,.087427326,SUCCESS
44,CLOUD_LAT_READ_20260219_180840_P000004,1771524526.612631145,1771524526.700982903,.088351758,SUCCESS
