Transaction_ID,Patient_ID,Start_Time,End_Time,Latency_Seconds,Status
1,CLOUD_LAT_XRD_20260219_180936_P000001,1771524578.056019001,1771524578.155998800,.099979799,SUCCESS
2,CLOUD_LAT_XRD_20260219_180936_P000002,1771524578.167725734,1771524578.247168472,.079442738,SUCCESS
3,CLOUD_LAT_XRD_20260219_180936_P000003,1771524578.258700799,1771524578.335239831,.076539032,SUCCESS
4,CLOUD_LAT_XRD_20260219_180936_P000004,1771524578.350290087,1771524578.425259560,.074969473,SUCCESS
5,CLOUD_LAT_XRD_20260219_180936_P000005,1771524578.441133648,1771524578.518053193,.076919545,SUCCESS
6,CLOUD_LAT_XRD_20260219_180936_P000001,1771524578.529753426,1771524578.607924418,.078170992,SUCCESS
7,CLOUD_LAT_XRD_20260219_180936_P000002,1771524578.619513146,1771524578.697534933,.078021787,SUCCESS
8,CLOUD_LAT_XRD_20260219_180936_P000003,1771524578.709505275,1771524578.784888964,.075383689,SUCCESS
9,CLOUD_LAT_XRD_20260219_180936_P000004,1771524578.796338188,1771524578.875845529,.079507341,SUCCESS
10,CLOUD_LAT_XRD_20260219_180936_P000005,1771524578.887835672,1771524578.971054351,.083218679,SUCCESS
11,CLOUD_LAT_XRD_20260219_180936_P000001,1771524578.982817386,1771524579.062926149,.080108763,SUCCESS
12,CLOUD_LAT_XRD_20260219_180936_P000002,1771524579.074333171,1771524579.151697233,.077364062,SUCCESS
13,CLOUD_LAT_XRD_20260219_180936_P000003,1771524579.163633975,1771524579.239375277,.075741302,SUCCESS
14,CLOUD_LAT_XRD_20260219_180936_P000004,1771524579.250501788,1771524579.322497851,.071996063,SUCCESS
15,CLOUD_LAT_XRD_20260219_180936_P000005,1771524579.333202848,1771524579.409393166,.076190318,SUCCESS
16,CLOUD_LAT_XRD_20260219_180936_P000001,1771524579.421050297,1771524579.499463198,.078412901,SUCCESS
17,CLOUD_LAT_XRD_20260219_180936_P000002,1771524579.511257034,1771524579.592826851,.081569817,SUCCESS
18,CLOUD_LAT_XRD_20260219_180936_P000003,1771524579.605191909,1771524579.683782216,.078590307,SUCCESS
19,CLOUD_LAT_XRD_20260219_180936_P000004,1771524579.695266041,1771524579.769837500,.074571459,SUCCESS
20,CLOUD_LAT_XRD_20260219_180936_P000005,1771524579.781114117,1771524579.856804617,.075690500,SUCCESS
21,CLOUD_LAT_XRD_20260219_180936_P000001,1771524579.868200339,1771524579.942484587,.074284248,SUCCESS
22,CLOUD_LAT_XRD_20260219_180936_P000002,1771524579.953620199,1771524580.028057853,.074437654,SUCCESS
23,CLOUD_LAT_XRD_20260219_180936_P000003,1771524580.038987357,1771524580.114244341,.075256984,SUCCESS
24,CLOUD_LAT_XRD_20260219_180936_P000004,1771524580.125246948,1771524580.198472657,.073225709,SUCCESS
25,CLOUD_LAT_XRD_20260219_180936_P000005,1771524580.209729573,1771524580.282418962,.072689389,SUCCESS
26,CLOUD_LAT_XRD_20260219_180936_P000001,1771524580.293971789,1771524580.369462482,.075490693,SUCCESS
