# EHR Blockchain Performance Analysis - Academic Research Dataset
# Generated: 2025-08-11 10:26:44 -03
# Report Version: Enhanced Automated Management
# System: Hyperledger Fabric v2.5.10, 2 Organizations, TLS Enabled
# 
# Metadata Summary:
# - Platform: Linux 6.8.0-65-generic x86_64
# - CPU Cores: 8
# - Available Memory: 15Gi
# - Latency Data Files: 315
# - Throughput Data Files: 115
# - Parallel Scaling Tests: 5
#
# Academic Standards:
# - Statistical significance: 25+ iterations per configuration
# - Percentile analysis: P50, P95, P99 for latency characterization
# - Reproducible methodology for peer review validation
#
# Data Format Notes:
# - All latency measurements in milliseconds
# - All throughput measurements in transactions per second (TPS)
# - All timestamps in Unix epoch format with nanosecond precision
# - Success rates expressed as percentages (0-100)
#


Operation_Type,Sample_Size,Mean_ms,Std_Dev_ms,P50_ms,P95_ms,P99_ms,Range_ms
CreateEHR,500,85.741000,20.518000,85.391554000,103.666221000,173.899377000,58.059417000-381.742540000
ReadEHR (same-org),500,65.940000,6.557000,64.713549000,71.882576000,99.996485000,58.227205000-139.227297000
ReadEHR (cross-org),500,65.867000,4.582000,65.424542000,69.192327000,76.263944000,52.940361000-123.359444000
UpdateEHR,500,87.281000,12.041000,87.866890000,103.426240000,114.947959000,59.962937000-170.001241000
Consent (Grant/Revoke),500,83.312000,12.409000,84.771713000,101.710656000,108.063946000,56.693619000-112.423172000
Unauthorized Read,500,67.434000,5.385000,67.031658000,73.024885000,85.063823000,54.890093000-132.361039000

Operation_Type,Sample_Size,TPS,Duration_Seconds,Test_Quality
CreateEHR,500,11.00,45.45,Robust Test
ReadEHR,500,13.28,37.65,Robust Test
UpdateEHR,500,10.61,47.12,Robust Test
Consent,500,10.54,47.43,Robust Test
Cross-Org,500,12.91,38.72,Robust Test

Workers,Test_Type,Total_Transactions,Success_Rate,Total_TPS,TPS_Per_Worker,Scaling_Efficiency_Percent,Test_Duration_Seconds
1,CROSS_ORG,100,100.00,15.82,15.82,100.0,6.317887339
2,CROSS_ORG,200,100.00,26.80,13.40,80.0,7.460578103
4,CROSS_ORG,400,100.00,39.34,9.83,60.0,10.166295135
8,CROSS_ORG,800,100.00,41.70,5.21,32.5,19.182359140
12,CROSS_ORG,1200,100.00,39.43,3.28,20.0,30.429744251
16,CROSS_ORG,1600,100.00,38.44,2.40,15.0,41.621485270
